,고객리뷰,예측답글,유창성,연관성,,,,,,,,,,,,,,,,,,
41,각각 개별포장 좋았어요 근디 얼음이 다 녹아와서 아쉅네요 도넛은 넘 맛났네요,안녕하세요 고객님 😄 별점 5개 만점에 칭찬 감사합니다♥❤ 다음엔 꼭 얼음 없이 도넛 제조해 드릴게요😊 주문해주셔서 너무 감사드리고 늘 행복하고 건강해지세용~~💕💕💕💕 항상 맛과 정성으로!!! 보답드리겠습니다!! 새해 복 많이 받으시고 늘 웃는 일들만 가득하시길 바래 봅시다!!💕💕💕💕💕‍♀️◕ 또 만나요 고객님^^ ~!!! 오늘도 행복한 하루 보내세요옹(\*゚▽ʃ)وع☺‿💕😀🙂 언제든 든든한 한,0,0,,,,,,,,,,,,,,,,,,
42,얼음 좀 완벽하게 갈아주심좋겠어요 매번 얼음 덩어리가 ㅠㅠ,ㅠㅠ 님도 얼음을 너무 안바른 것 같아요!! 얼음 녹으면 매장에 드시기 딱 좋아용 ᅲ #@기관# 배달이 몰려서 실수할까봐 제가 걱정을 많이 합니다.. 다음번엔 이런 실수가 발생하지 않도록 더 신경써서 보내드릴께요! 리뷰 감사드리며 오늘도 행복한 하루 되세용♥️و😀 ♥️♥️♥̆♥️♥️ ♥̆💕💕 ♥️♥️ 하트뿅뿅(ˊ으니× ́ˋ)☺😁 항상 건강하시고 행복하세요♡,0,0,,,,,,,,,,,,,,,,,,
43,맛도좋고 양도좋고 생크림이 너무 달지않고 거부감없이먹었어요,안녕하세요. 리뷰를 남겨주셔서 감사합니다. 만족스러우셨다니 너무 행복합니다. 저희 생크림도 정말 맛있고 다양한 크림을 만들 수 있습니다! 항상 신선하고 좋은 재료로 정성스럽게 만들어 보답할수 있도록 최선을 다하겠습니다. 즐거운 주말 보내세요~ 다음 주문시 요청사항에 [ #@고객이름# (핫/아이스) 아메리카노 또는 (주문하신 음료 중 1개) 사이즈업 ] 적어주시면 서비스를 드립니다 (아이디만 확인하고 서비스 드리겠습니다...) 앞으로도 많은 관심 부탁드릴게요‍♂️❤️❤️❤️ 늘 건강하시고 행복,0,0,,,,,,,,,,,,,,,,,,
44,국내산 닭고시!!!!!!!!!,안녕하세요 고객님 #@고객이름# 소중한 주문 감사합니다. 첫 리뷰와 사진과 만족스런 후기까지 남겨주셔서 정말 큰 힘이 됩니다~!! 크로플은 언제 드셔도 후회 없는 맛으로 또 한번 찾아뵙는 한 주 되세요! ^^ 언제나 신선하고 맛있는 음식 제공해 드릴 수 있는 매일 아침이 되시길 기원하겠습니다~! 코로나 조심하시고 항상 행복하시길 바랍니다>< 그럼 오늘도 좋은 하루 보내세요😊☺😃💕💕❤️‍ 고객님들께 다시한번 최고의 칭찬을 전해드리겠습니다. 더욱 더 노력하는 #@상호명# 이 되겠습니다.,1,0,,,,,,,,,,,,,,,,,,
45,배달도 빠르고 맛도 맛있고 서비스도 최고 입니다 ~~,#@상호명# 도 믿고 찾아주셔서 너무너무 감사합니다♡♡ 앞으로 더 노력하는 #@상호명# 이 되겠습니다:) 좋은 하루 되세요😄😊😉😆💕 소중한 주문과 리뷰 정말정말 감사합니다. 감기조심하시고 달콤하고 달달한 하루로 마무리 하시길 바랍니다. ♥️❤️ 항상 행복하세요 ♥️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ 또 만나요 고객님~! 약속드려용☺️❤️❤️❤️❤️❤️❤️❤️❤️❤,1,0,,,,,,,,,,,,,,,,,,
46,"예정된 사간보다 45분 더 지연됐어요.너무 늦으면 연락을 먼저 주시던지 해야하는데,마냥 기다리고 실망이네요.",이런.. 불편을 드린것 같아 죄송하네요! 다음번엔 더 빨리 해드리도록 노력하겠습니다. 항상 고객님께 최선을 다하는 #@상호명# 되겠습니다!! 좋은 리뷰 감사하고 즐거운 하루 되세요^^ 5점리뷰 감사합니다^^ -#@상호명# 드림- - Vedio!♥️-♡ 많이 이용해 주세용😆 오늘처럼 날씨가 추워지면 배달지연이 생깁니다. 언제든 주문해 주면 신속하게 처리될 수 있도록 하겠습니당! 다시한번!! 감사드립니닷‍♀️💕🙂💕❤️💕💕💕💕💕☺️💕❤,1,0,,,,,,,,,,,,,,,,,,
47,항상 배달 빠르게 해주시거 너무 좋아요,#@고객이름# 감사합니다♡ 앞으로도 늘 빠른 배달과 맛으로 보답해드리는 #@상호명# 이 되겠습니다!! 리뷰 감사드려용♡♥ 행복한주말보내세요:) \*♡_\*♡ 저희 매장을 이용해 주셔서 너무나 감사합니당(_) 건강한리브존은 고객님이 항상 만족하실만한 제품으로 준비하겠습니닷:D 오늘도 즐거운 하루 보내세용 감사드림니당~!💕️💕☺️💕🙂 또 만나요 우리카드 ♡♡ 담에도 사랑합니다아아앙❤️💕️💕💕💕 또 만나용‍,0,0,,,,,,,,,,,,,,,,,,
48,맛도 좋고 배달도 빠른데 배달료가 넘 비싸요 ㅠ.ㅠ,저희는 이용해주셔서 감사합니다^^ 배달비도 저희가 부담해야 할부분인데ㅜㅜ 항상 열심히할께요~!! 앞으로 저희 #@상호명# 많은이용 부탁드립니다.~만족스런 식사 되도록 노력하겠습니다! 즐거운 하루 보내세요😁😊🙂💕💕😆😄😀😊 •━┛ 주문해주시면 꼬옥 맛있게 드실 수 있도록 정성듬뿍담아 준비해드리겠습니다! 소중한 리뷰와 사진 정말 감사합니다.♥️ 언제나 믿고찾아주시는 만큼 더 맛난거와 서비스로 보답하는 #@상호명# 되겠습니다.😊 ‍♀️❤️❤,1,0,,,,,,,,,,,,,,,,,,
49,최고입니다.맛있습니다 .고맙습니다,최고의 칭찬~ 소중한 리뷰 감사합니다 ^^ 앞으로도 종종 이용해주세요 좋은 말씀 감사드리며 ᄒᄒ 다음에 또 찾아주세용 ~!! ♡♡♡♡~ 건강 조심하시는 #@상호명# 되겠습니다! 좋은 하루 되시#@위치# 요.~! ᄒᄒ 주문 해 주셔서 너무 기쁘네요~~ 앞으로도 변치않는 맛과 정성으로!! 항상 최선을 다하는 #@상호명# 가 되도록 하겠습니다.^-^/ 다음 주문도 기다리겠습니다. 항상 즐거운 명절 보내세요! 감사합니다. -뿔사장올림❤️❤️-♪-) -뿔사장올림❤️-,0,0,,,,,,,,,,,,,,,,,,
50,매번 뭘더 주시네요 배달도 빠르고 원하는맛 선택해서 먹을수 있으니 좋아요,배달은 저희 #@상호명# 을 찾아주셔서 대단히 감사드리#@위치# 요! 맛있게 드시고 사진리뷰 올려주셔서 다시한번 너무너무 감사드려요^-^ 앞으로 더 노력하겠습니다 ^ᅳ^ 많은이용바라며 행복한 저녁 되셔요~^^ 소중한 주문과 리뷰 정말감사합니다 다음에도 고객님의 만족을 위해 변함없는 모습 보여드릴게요. 오늘하루도 행복하게 보내세요!! -뿔사장올림--) -뿔사장올림-:D 늘 건강하고 맛있는 디카페인 충전 하세용❤️‍♥️,0,0,,,,,,,,,,,,,,,,,,
51,두번째주문인데 크로플 맛이 엄청나게 맛있습니다,#@상호명# 를 찾아주시고 소중한 후기 또한 잊지 않고 남겨주셔서 감사합니다 ❤️ 재주문까지 넘나 감사해요 ᄒᄒᄒ 고객님들이 만족하실수 있도록 더욱 노력하는 크로플 각이 될게요!! 오늘도 즐거운 하루 보내세요 --♡ - <3< ----) 다음 주문도 기다리겠습니다 :) 코로나 조심하시고 웃는 날들만 가득하시길 바래요! 😆 이번주도 화이팅 하세여~~‍♀️♂️♥️‿ 하시는일마다 행복한 한과오시#@위치#,0,0,,,,,,,,,,,,,,,,,,
52,맛은 있으나 배달이 너무 오래걸려요 양도 적고,배달업체 빨리 받아서 너무너무 좋네요ㅠㅠ 양이 적으셨다니 정말 죄송합니다 ᅲ 다음번엔 더 맛있게 만들어 드리겠습니다! 감사합니다. ^^ ~~~ 오늘도 행복한 하루 보내세요♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ 드림♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,0,0,,,,,,,,,,,,,,,,,,
53,시킬 때마다 늘 만족하는 메종드한,ᄒ #@고객이름# 님~ 저희 매장을 찾아 주시고 항상 좋은 리뷰 남겨주셔서 정말 감사하모니카 ^^ ~ 자주 주문 주셔 도~~~ 항상 만족하도록 최대한 드리려 노력하고 있어요!!! 앞으로도 많이 찾아주시고 응원 부탁드립니다 행복한 하루 보내시기 바랍니다😊😆😁‍♂️♥️ 고객님의 소중한 별점과 리뷰 정말 감동감동입니다🙂😉💕😇 늘 변함없는 모습으로 보답해드리겠습니다!! 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림❤️- '#@상호명# 드림'#@전화번호# 드림: If wh,0,0,,,,,,,,,,,,,,,,,,
54,항상 좋은 음식 감사합니다 ㅎㅎ,고객님 리뷰 감사합니다. 항상 좋은 음식 제공해드리려고 노력하고 있으나 쉽지 않은 현실입니다. 고객님께 맛있는 식사 전달드리기위해 노력하겠습니다. 행복한 하루 되세요 :-)‿◕😉 ̆‍♀️❤️❤️ 오늘도 즐거운 하루되세요 : ) -#@상호명# 올림❤️- 올림고객의 행복을 위하여! 다가오는 주말 즐겁게 보내시기 바라며.또한 주문 부탁드려욤^____^!! 감사합니다 :)  좋은날 좋은일만 가득하시길 바랄게요~!♥️💕😁,0,0,,,,,,,,,,,,,,,,,,
55,최근에 주문했을때 맛있어서 두번째 주문합니다. 맛있어요~~ 👍 코로나로 어려운 시기에 오래도록 영업 잘 되시길 바랍니다.,"안녕하세요! 고객님 #@상호명# 입니다 ^^ 저희 #@상호명# 를 아낌없이 제공해드리기 위해 정성을 다하고 있습니다~ᄒ 맛있는 빵이 생각나시면 저희 ""샤빙"" 많이 찾아주시고 사랑해주세요! 감사합니다!! 더 열심히 노력하는 샤빙이 되겠습니다♡ 다시한번 주문 넘 감사드립니다 :) ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥",1,0,,,,,,,,,,,,,,,,,,
56,아인슈페너 처음으로 시켜봤는데 달달하니 맛있습니다~!! 서비스로 주신 아메리카노도 잘 먹겠습니다 감사합니다🥹,안녕하세요 고객님 소중한 리뷰와 별점 감사합니다💕 첫주문에 만족하신 것 같아 기분이 좋습니다❤️ 언제나 맛있는 음료와 디저트를 제공하기 위해 최선을 다하는 #@상호명# 이 되겠습니다. 항상 행복하셔요😆☺️ 감사합니다.‍♀️ 오늘도 행복하고 웃음가득한 하루 보내세요 (\* ́∀`)‿ˋ🙂🙂😁😀😄😄😃😊😉 행복한 오늘 되시길 바랍니당💕💕💕 감사합니다! 퐈이야!! 또 만나용 우리헤어,1,1,,,,,,,,,,,,,,,,,,
57,딸기ㅜㅜ 저 원래 딸기 안 좋아하는데 3주 내내 딸빙 생각으로 지새우다 드디어ㅜㅜ 먹었슴다ㅠ 딸기 토실하니 맛났어요!,고객님 안녕하세요 (o(ˊ\*-ˋ∇)∀🤣 앞으로도 최상의 재료와 정성으로 보답하겠습니다 감사합니다!!!😀😁😁 ‍♀️☺ 저희 매장을 이용해주셔서 너무너무 감사드리고 다음에 또 봐용~! 건강하고 행복한 하루 되시길~!😆😊😆 소중한 주문과 리뷰 너무나감사합니다.❤ ‍♂️❤◕🙃 쵝오ノ☆‿ღノ。 또 만나요 고객님오💕💕💕💕😃🙂😄 🤓😄😇😊 필요한모습과 정성스러운사진 그리고 남겨주,0,0,,,,,,,,,,,,,,,,,,
58,배달 빠르고 맛잌ㅅ어오 이번에는 리뷰이벤트로 제대로 파인애플 받았어요 큰 사이즈가 왔네여 잘 먹었습니다 감사....!,#@상호명# 를 믿고 찾아주셔서 감사합니다! 맛있게드셨길💕 항상 빠르고 깔끔하게 고객님들께 배달드릴수가 있기를 바래봅니다. 건강유의하시고 다음에 또뵐게요 ❤️건강 잘 챙기시#@위치# 요. 좋은 하루되세요 :D -뿔사장올림- -뿔사장올림-) -뿔사장올림 올림-(ˋ\*。)-♡ +☆♥★♥  하트하나에 반죽도 한 번씩~ 해봐요~ᄒᄒ 늘 감사드립니닷,0,0,,,,,,,,,,,,,,,,,,
59,새벽에도 배송이 되니 참좋아요^^ 샌드위치 참 맛있어요~서비스 잘마실게요♥,#@고객이름# 님 저희 SKY 31을 이용해주셔서 감사합니다! 항상 신선하고 품질좋은 식재로 보답하겠습니다. 즐거운 주말되세요~^^ \* 감사합니다.^^ )♥ 날씨가 쌀쌀하니 감기 조심하시고 행복한 하루 보내세요! :)! If it's ot fu why do ll happy cafe is too method! (참#@위치# ) 앞으로도 만족과 즐거움을 드릴 수 있는 다양한 메뉴 준비 해놓을테니 자주 찾아주시고 늘 건강하시길 바랄게요^0^ 감사합,0,0,,,,,,,,,,,,,,,,,,
60,미리 잘라서 보내주신 덕분에 편하게 생크림에 먹을수 있었네요. 맛있었어요! 서비스로주신 아메리카노 잘마시겠습니다. 번창하세요.,맛있게 드셨다니 뿌듯합니다. 리뷰 남겨주시는 친절한 말씀 너무나 감사드립니다. 다음에도 신선하고 맛있는 샐러드 만들어서 보내드릴게요^-^ 오늘도 행복한 하루 되세요. -뿔사장올림- -뿔사장 올림--(항상 겸손하게 생각하고 모든것에 정성을 다하겠습니다...)^(\*。▽。).@)/ ((•‿ω)OOOo\*。)/ (♡.~ε・ง)/ [❤️🤣😆 맛있고 건강한 디저트 시간,0,0,,,,,,,,,,,,,,,,,,
61,랜덤박스라 어떤 빵이 올까 기대되기도 하고 신선하네요. 덤으로 자몽쥬스 주신 것도 잘 먹었습니다~,저희 장을 이용해주셔서 정말 감사합니다^^ 이벤트에 참여하신다고 하니깐 많이 주문해주세요~^^ 더욱 노력하는매장 될수있도록 하겠습니다♡ 자주이용해주시고 행복한모습까지 만점리뷰 남겨주시는거 진심으로 고맙습니다.♡♡♡♡♡♡♡♡♡♡♡감사드리고 다가오는주말에는 행복이 가득하시#@위치# 요♡♡♡♡또 만나요♡♡♡♡♡(♡ ́∇ ́)♡♡♡♡♡♡.♡♡♡♡♡♡♡♡♡♡♡♡♡♡\*♡♡♡♡,0,0,,,,,,,,,,,,,,,,,,
62,양이 팥빙수..소 맞나 할 정도로 많아요,"양이 거의 비슷하세요~~소확행이 될때까지 맛있게 만들께요>_< 생각나실 때나 찾아주세요~~^^ ~~^\* 항상 행복한하루 보내세용!!!♡♡♡♡♡♡♡♡♡♡♥ 이쁜리뷰에 저희 매장 너무너무 감동입니다~^^ ""#@상호명# ""이름도 귀엽고 이름가득한 우리손님"" 이 되겠습니다~♡♡♡♡♡!! 정말 감사합니당!♥♥♡♡♥♥♥(。•♥`)❤️♥",0,1,,,,,,,,,,,,,,,,,,
63,빠른 배달 감사합니다 바닐라라떼도 진짜 맛있었어요,주문해주셔서 감사합니다❤️ 빠르게 잘 도착했다니 다행이네요 앞으로도 고객님께서 생각지 않고 드실 수 있도록 최선을 다하겠습니다😊 리뷰 너무너무 감사드리고 항상 좋은날 되세요💕‿😆 ‍♀️💕🙂🙂🙂😉 ‍♂️‍♀️‍♀️‍♂️‍♀️♥️‍♀️️❤️❤️ 또 뵈어요😇🙂🙂😉🙂ु😉😉😊 감사합니다.☺😀😁 행복한 하루되시고 또 만나요 우리!😊🙂🙂ʕ😃😄 시원,1,1,,,,,,,,,,,,,,,,,,
64,햄치즈시킬까말까하다가 남길꺼같아서 안시켰는데 서비스로주셔서 감사해요^^ 참치는 안에 양배추가들어있어 넘맛있었어요 내용물도 넘치도록 들어있고! ㅎㅎ다음에도 또주문할께요,#@고객이름# 하세요 저희 매장을 이용해 주셔서 감사드립니다~ 맛있게 드셔주신 것 같아 너무 기쁘네요^^ 앞으로도 고객님들께 든든하고 맛있고 빠르게 배달해드리겠습니다😊 항상 행복하세요😁 코로나에 건강 유의하시고요. 오늘도 즐거운 하루 보내세요~♥️❤️❤️❤️❤️‍♀️ 늘 행복하세요💕‍♂️🙂‿ε-) 우리은행 모퉁이를 찾아주셔서 고맙습니다! (ˊ🙃\*)و\*。 ˋ\*。 소중한 리뷰:) 사랑합니,0,0,,,,,,,,,,,,,,,,,,
65,샌드위치가 생각보다 커서 좋습니다,저희 매#@위치# #@위치# 성은 랜덤박스라서 좀 작을 수 있예요..다음엔 미니반미 샌드위치나 미니크로플도 한번 드셔보시길 추천드려요. 샌드위치는 직접 생지를 이용해 제조하니 한 번 크면 오래갈 수 있지요ᄒ^^ 맛있는 건 앞으로도 자주 찾아주실 거죠? 맛있게 잘 준비해서 다음에도 기다리고 있겠습니다. 감사합니다~~^^ ~^^ 좋은 하루 보내세요!!!^^ ;;_♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,0,0,,,,,,,,,,,,,,,,,,
66,맛있어요 누텔라가 제일 좋아요,안녕하세요~~ 고객님 누텔라랑 양파치즈 맛있죠ᅲ_ᅲ 자주 이용 부탁드리겠습니다 저희는 기본에 충실합니다^^ #@상호명# 는 변함없는 맛 유지하도록 노력하겠습니다^0^ 좋은하루되세요♡♡ 감사합니다.💕💕💕💕💕💕💕💕💕💕💕 또 이용해 주세용♡❤️감사합니다.☺️ 행복한 주말 보내세요!!😊😊😊😊😊😆 ‍♀️💕‍♂️‍♀️ 소중한 리뷰 감사드립니다.‍♀️ 우리고객님,1,0,,,,,,,,,,,,,,,,,,
67,배달 상태는 양호했고 맛도 너무 좋아요~~,안녕하세요! 소중한 리뷰 감사드려요♡ 배달도 맛도 모두 만족해주시고 별다섯개 리뷰와 칭찬까지 너무 감사드립니다!! 앞으로도 항상 안전하고 맛있는 음식을 제공하기 위해 노력할게요. 감사합니당♥️‍♀️ 늘 행복하세요 ♥️♥️❤️️‍♂️❤️❤️️️ 또 봐용 히히힛.❤️♥️♥️♥️ 고객님도 오늘도 내일 기분좋은 하루 되세요 : ) -#@상호명# 드림- 올림,1,0,,,,,,,,,,,,,,,,,,
68,괜찮았어요!!!! 다음에 또 시킬게요 ^.^,안녕하세요 고객님 저희 #@상호명# 를 이용해주셔서 감사합니다. 다음 주문시에도 맛있게 드실수 있도록 하겠습니다! 오늘도 행복한 하루 되세요~^^ ♡♥♡ 우리손님은 오늘도 행복해요~!! 리뷰이벤트 및 깜짝서비스는 계속 진행중이오니 많은이용부탁드립니다! 다음주문 때 뵙겠습니다 ^^ ~!!^^ ♡♥!!★★☆★★★★★ 더위 조심하시#@위치# 또 만나요~~안녕❤️‍♀️‍♂️‍♂️,0,0,,,,,,,,,,,,,,,,,,
69,진짜 너무 맛있어요~~ 스파게티와 바게트 조합이 이렇게 좋을줄 몰랐어요 포장도 너무 깔끔하고 휴일날 브런치로 최고예요!,#@고객이름# 님 맛있게 드셔주셔서 감사합니다😁 오늘 하루도 좋은 하루 보내세요😊 소중한 리뷰 올려주셔서 진심으로 감사드립니다!! 휴일 브런치 생각나실때 종종 들려주시면 꼭 기억해서 준비해드리겠습니다. 행복한 주말 되시길 바랄게요😀️❤️‍💕😀 리뷰 남겨주셔서 감사합니당❤️☺️ 항상 최고의 품질과 서비스로 보답드리겠습니다! ( ́▽•`)و 다음번에도 또 찾아주세용:) 사랑합니다. 건강하고 행복한 12월 마무리 하시길 바라겠습니다❤,1,0,,,,,,,,,,,,,,,,,,
70,맛있어용 근데 토핑 종류는 가격에 비해 별로인 듯 해요 째끄만 떡 조각이라도 있으면 좋을텐데.. 우유얼음 양은 엄청 많아요,고객님 소중한 리뷰 감사드립니다. 저희는 떡을 따로 만들고 있는데 배달 주문하시는 과정에서 문제가 있는 것 같습니다..ㅠㅠ 이런 불편을 덜 수 있도록 보완하도록 하겠습니다! 다음주문시 요청사항에 [ #@고객이름# (핫/아이스) 아메리카노 또는 (주문하신 음료 중 1개) 사이즈업 ] 적어주시면 서비스를 드립니다(아이디와 서비스 요청사항을 남겨주세요) 앞으로도 자주 이용 부탁드려요 ~\*♪😊 ❤️❤️😉 ‍♂️❤️❤️❤️❤️❤️❤️☺,1,0,,,,,,,,,,,,,,,,,,
71,품절안내도 친절히 해주시고 대체해온 빵도 맛있어요^^ 빙수도 맛있게 잘먹었습니다:),맛있게 드셨다니 행복합니다~^^ 앞으로도 신선한 재료를 많이 준비해 맛있는 디저트와 서비스로 보답하고자 노력하고 있습니다! 이번주도 행복한 저녁 되세요♡♡♡♡♡♡♡♡ 감사합니다'-♡♡♡♡♡♡♡♡♡♡♡♡♡ 오늘도 좋은 하루 보내세용 :) #@상호명# 의 제품이 생각나시면 또 이용해주세용 ~-♡♡♡.감사합니다.♥♡♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,1,0,,,,,,,,,,,,,,,,,,
72,음료다 맛있네요 토피넛은 땅콩도 씹히구요 잘먹었습니다,소중한 주문뷰 감사드립니다!! 저희 스콘토피넛 100% 국산 깡통으로 만들어 보냉에 쓱쓱! 새기고 냉동실에 넣어 드시면 더욱 풍미가 더 좋습니다~ 다음에도 재주문 기다릴게용~ 또 주문해주세용:) 편안한 밤 되시고 항상 행복하세용♥♡ 또 만나요 우리\*^♪/💕 *+(ノ・▽`ω・ˊ)و━♡ 오늘도 좋은 하루 보내세요❤️😆‍♂️😊 예쁘고 친절하게 사진까지 올려주시고 넘넘 고맙습니다 😁 💕💕,1,0,,,,,,,,,,,,,,,,,,
73,늦은시간에도 빙수를 먹을수 있어서 정말 좋네요 초코케익도 맛있고 리뷰이벤트로 아아까지 와서 잘 먹었습니다~,소중한 리뷰와 사진 감사합니다. 빙수 맛있게 드셔주셔서 너무너무 감사합니다! 앞으로도 만족100퍼센트 될 수 있도록 최선을 다하겠습니다^^ 추운 날씨 코로나 조심하시고 오늘도 좋은 하루 보내세요~♥️♥️️♥️♥️ 다음번에도 이용 부탁드릴께요!!:) ‍♀️‍♂️❤️ 늘 감사하다는 말씀 드리겠습니다! 행복한 하루 되세요. : )و ━́‍♡ 또 만나용 우리VoIPO Vᅦ뤼룽 감삽니당 💕😊,0,0,,,,,,,,,,,,,,,,,,
74,배달도 빠르고 포장도 잘되어있어서 좋겠어요~감사합니다!,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶었어요~♥)입니다. 주문과 동시에 포장하고 있어요. #@고객이름# 들도 배달시간이 길어지면 속상해하실거에요. 하지만 최대한 빠르게 보내드리려고 노력하고 있어요 ~^^ 맛있게 드셔주셔서 감사드립니다. 코로나때문에 외출이 조심하시고 오늘도 좋은 하루 보내세요❤️❤️❤️❤️ 감사합니다!☺️‍♂️❤️‍♀️❤️❤️‍♂️❤️❤️❤️❤️❤️❤️️❤️,1,0,,,,,,,,,,,,,,,,,,
75,맛있는 음료랑 토스트ㅠㅠ 너무 좋아오 자꾸 생각나서 시켜먹었어요,맛은 드셨다니 기뻐요🙂 리뷰 감사합니다 ‍♀️ 토스트는 역시 토스트라고 생각했죠ᆞ 언제나 찾아주셔서 너무 감사하고 또 찾아주시길 기다릴게용>_< 오늘도 즐거운 하루 보내시고 다음에 또 생각나시면 다시 들려주세효😀❤️❤️❤️❤️ 항상 기쁨 가득하시길 바래요😆☺️ 더더욱 노력하는#@상호명# 이 될께효 많이많이 사랑해주세요😇😃 💕😊 응원도 응원도 화이팅입니당😄😁😀😉 건강 유의하시고 편안한 밤 되세효 주문,0,0,,,,,,,,,,,,,,,,,,
76,집에서 배달해 먹는 망고빙수..최고네요 ! 서비스 아이스티도 유달리 맛나고.... 자주 애용하겠습니다ㅡ 한가지 건의사항은 연유가 좀 흘렀네요. 담부터는 뿌려주시면 좋겠어요,#@고객이름# #@상호명# 도너츠를 이용해주셔서 감사합니다. 고객님 요청사항에 아이스티 연유가 뿌려지기는 하였습니다ㅠㅠ 다음 주문시 아이스티 하나 더 보내드릴게요!! 다음 주문에 아이스티 조금 추가하시고 다시 맛있게 만들어 드리겠습니다. 소중한 리뷰 고맙습니다.(꾸벅)♥️ 오늘도 감사드려요.(’▽'Ü)-'♡.♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️까지♥️♥️,0,0,,,,,,,,,,,,,,,,,,
77,간만에 주문하는데도 서비스챙겨주셔서 감사했어요! 아이스아메리카노랑 먹으니까 더욱 맛있었어요ㅠㅠ 샌드위치 맛은 말할것도없구요ㅜㅜ 정말 푸짐하고 신선한 맛난 샌드위치였어요!!,안녕하세요 고객님 소중한 시간을 내어 리뷰를 남겨주셔서 감사합니다:-) 저희 디저트 메뉴까지 맛있게 드셔 주셨다니 넘나 뿌듯하네요😃 요거트에 한입! 쫀득한 라떼로 든든하게 즐겨보세요!!ᄒᄒ 언제나 실망하지 않고 열심히 하는 #@상호명# 되겠습니다😄 주문해 주셔서 감사드리고 행복한 하루 되세용😆 ❤️❤️❤️❤️❤️❤️❤️❤️️‍♀️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,1,0,,,,,,,,,,,,,,,,,,
78,안녕하세요 오늘 처음 시켜봤는데 맛도 좋고 냉장고에 보관 했다가 먹을 수 있어서 편리해요~ 캔커피 홀더가 이뻐서 냉장고에 세워두니 너무 귀엽네요 잘먹겠습니다. 자주 이용할게요🙏👍,안녕하세요~ 소중한리뷰감사합니다! 캔홀더는 잘 안써져드리는거 같아서 냉동고에 두고두고 보관 해 드리고 있습니다ᄒᄒ ^^ 앞으로도 언제든지 맛있는 음료와 디저트가 생각나실때 저희매장을 이용부탁드립니당💕‍♀️ 또또 주문해주세요☺️ 감사합니다 좋은하루 보내세용^0^\*♡♥ 건강한 재료로 행복하고 즐거운 주말 보내시길바라옵니다~ 늘 건강하세요!!❤️ 감사합니다~ 좋은하루 되세요😊 ~~~~~❤️❤,0,0,,,,,,,,,,,,,,,,,,
79,너무나도 맛났어요 보리건빵도 서비스도 주시고 너무 감사해요,안녕하세요 여기는카페다 입니다:) 빵이 이렇게 빨리 들어가서 더 감사한건데 배달할때도 맛있게 만들어서 보낼게요 😊 소중한 리뷰 너무너무 고맙습니다‍♀️ 행복한 하루 보내세요💕😄🙂😄 고객님~~~😁😀😃 주문해주셔서 다시 한번 감사드려요!😆😆😆🙃 항상 맛있는 음식을 제공할 수 있도록 노력하는 #@상호명# 이 되겠습니다. 건강 조심하시#@위치# ❤ 또 만나요‍♂️😇😊❤ 기다리고 있겠습니다. #@상호명# 많이 사랑해 주시고 오늘도 즐거운 하루 되세요:-)😉💕💕❤❤💕,1,0,,,,,,,,,,,,,,,,,,
80,오 처음 시켜보는 곳인데 맛있네요 소스도 충분했고 양도 많아서 배부르게 잘 먹었습니다 커피도 맛있어요 다음에는 딴 메뉴 주문해볼래요,처음 주문셔서 고객님들께서 만족하시고 계셨다니 저희가 기분이 더 좋네요. 다음 주문시 카페는 어떠신지 말씀해주세요. 소중한 메모 남겨주세용^^ 앞으로도 신선한 재료와 푸짐하게 즐겨보시길 바라겠습니다. 행복한 하루 되세요~♡♡♡\*^)/♡o^//<♡~(!▽.)=♥◎♥・><♥❤️ ♥★★☆♥♡ ( ́ε`\*)???!! 담에 또 만나요오어유♥♡♥♡💕 정성스레 후기글 많이 달아주시겠습니다,1,1,,,,,,,,,,,,,,,,,,
