,고객리뷰,예측답글,유창성,연관성
86,후기좋은곳은 이유가있네요 특히 에그타르트!!! 너무 맛있습니다 ㅎㅎ,고객님 안녕하세요 :) 저희 와플들 모두 맛있게 드셔주셔서 넘넘 감사드립니당 😍 저희는 언제나 변함없는 맛으로 보답해드릴테니 언제든 생각나시면 또 찾아주세용 😉 즐거운 주말 보내세욤 <unk><unk></s>,0,0
87,시키지마자 사라져있는데 뭐죠 사진찍을새도 없었습니다 입한쪽에 빨대물고 다른쪽으로 빵 쑤셔넣었습니다 짐승이 된 기분이에요 최고,안녕하세요 고객님 :) 저희 #@상호명# 을 찾아주셔서 정말 감사드립니다 <unk><unk> 주문해주신 음료 모두 맛있게 드셨다니 정말 기쁘네요 ᄒᄒ 앞으로도 맛있는 음료와 디저트가 생각나시면 언제든 주문 부탁드릴게요! 오늘도 행복한 하루 보내시고 다음에 또 만나요~~(\* ́<unk>`)♪</s>,1,0
88,맛있어요!! 나중에 다시 주문하고 싶어요~!!!,맛있게 드셔주셔서 정말 감사합니다! 다음번 주문시에도 만족하실 수 있도록 최선을 다하겠습니다 :)</s>,1,1
89,"행사때 종종 이용합니다. 딸기요거티도 맛있고 꽈배기, 크라상도 맛나요.~",안녕하세요! #@상호명# 입니다! 저희 매장을 이용해주셔서 너무 감사합니당!! 맛있게 드셨다니 너무 기쁘네용>.< 앞으로도 많은 이용 부탁드릴게용!</s>,1,0
90,포장도 잘되어있구 배송도빨라서 좋아요!,안녕하세요 고객님! #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 츄러스입니다. 맛있게 드셔주셔서 감사합니다!</s>,0,0
91,배고파서 가볍게(?) 먹을 수 있는 걸 찾다가 샐러드가 괜찮을것 같아서 주문했어요!! 오!! 생각보다 포만감도 있고 맛도 있어요!! 잘 먹었습니다아😄,맛있게 드셔주셔서 감사합니다 :) 앞으로도 신선하고 맛있는 샐러드 드실 수 있도록 항상 노력하는 #@상호명# #@위치# 이 되겠습니다. 감사합니다.</s>,1,1
92,종종시켜먹는데 역시나! 너무맛있게 잘마셨어요. 내일도 회사가져가서 먹으려고 두개 쟁여뒀어여ㅎㅎ 너무너무맛있어요.잘먹었습니당!!,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다! 항상 정성껏 준비해서 보내드릴게요! 또 찾아주실꺼죠?</s>,0,0
93,아이들이 순수우유빵을 잘먹네요 재구매해야겠어요 리뷰이벤트로 에그타르트받았어요^^ 고맙습니다,안녕하세요! #@상호명# 카페 #@위치# 입니다( ́<unk>`) 맛있게 드셔주셔서 감사합니다! 앞으로도 많은 이용 부탁드릴게용~!</s>,1,0
94,항상 맛있게 잘 먹고 있습니다~ 늦은 시간에도 감사해요!,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 늦은시간에도 찾아주시는 고객님의 예쁜 마음에 항상 감사드립니다. 오늘도 행복한 하루 되시길 바랍니다. 감사합니다.</s>,1,1
95,두말할게 있나요? 안가본 사람있으면 손들어 보세요ㅎ,저희 #@상호명# 을 이용해주셔서 정말 감사드립니다!! 고객님께서 불편하셨다니 정말 죄송합니다..ㅠㅠ 다음번 주문하실때 요청사항에 적어주시면 더 신경써서 보내드리겠습니다~!</s>,0,0
96,열심히 산 보상으로 홈즈시켰어요😆 늦게까지 영업해주셔서 감사합니다,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주시고 이렇게 응원의글까지 너무너무 감사드려요!! 항상 고객님께 맛있는 디저트 드실 수 있게 최선을 다하겠습니다! 감사합니다.</s>,0,0
97,저번에도 시켜먹었는데 맛있어서 또 시켰어요!!,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛양배달 모두 별5점 너무 감사드리고 큰힘이 됩니다~ 감사해요 ᄒᄒ 코로나에 건강 유의하시고요. 맛과 정성으로...! 노력하는 크로플 각~ 될게용^^ 자주 찾아주세용~</s>,0,0
98,"배달 빠르고 , 도넛도 하나도 안녹고 모양 그대로 왔어요! ㅎㅎ 음료에 돔 뚜껑 씌워줬으면 더 좋았을듯!",안녕하세요 고객님 #@상호명# 직영점으로 운영중인 #@위치# 입니다! 저희 매장을 이용해주셔서 너무 감사드리고 앞으로도 만족하실수 있도록 노력하겠습니다^^</s>,0,0
99,커피향이 좋아요! 가성비 갑입니다 추천 꾸욱---!,안녕하세요 고객님! #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있도록 준비하고 있습니다! 맛있게 드셔주셔서 감사드리고 앞으로도 많은 이용 부탁드릴게요^^</s>,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
