,고객리뷰,예측답글,유창성,연관성
46,"예정된 사간보다 45분 더 지연됐어요.너무 늦으면 연락을 먼저 주시던지 해야하는데,마냥 기다리고 실망이네요.",안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장이 되도록 노력하겠습니다! 이용해주셔서 감사합니다! 좋은 하루 되세요^^ \* 감사합니다.‍♀️❤️💕💕 항상 행복하시고 건강하세요! :)!️ #@상호명##@상호명# 의 맛있는 제품이 생각나시면 언제든 찾아주세요 😉 편안한 밤 되시길 바랍니다 🙂🙂😉😉😊😊🙂😊😉🙂😆😆😁😁😆😊😆 💕😊😁😊😀😀😁😀😊 ❤,1,0
47,항상 배달 빠르게 해주시거 너무 좋아요,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장이 되도록 노력하겠습니다 감사합니다 ^^ \* 앞으로도 많은 이용 부탁드릴게요 ^_^♡♡ 좋은하루 되세요 ♡♥♡ ♥♥ ❤️♥️ 까지 해주시면 더더욱 감사하겠습니다. :)! 행복한 하루 되시길 바랄게용 ♥ 또 뵙겠습니다!!! 😉😊😊 💕💕‍♀️💕‍♂️ 하이나 퐈이야,1,1
48,맛도 좋고 배달도 빠른데 배달료가 넘 비싸요 ㅠ.ㅠ,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다 ^^ 배달료가 너무 비싸요 ㅠㅠ ᅲ 다음번엔 더 저렴하게 받아보실 수 있도록 노력하겠습니다! 소중한 리뷰 감사드리고 오늘도 좋은 하루 되세요 :)!!! ‍♀️❤️️♥️‍♂️ 늘 행복하세요 고객님 ♡♡ 오늘도 행복한 하루 보내세요 : ) -#@상호명# 올림☺️-#@상호명# 드림------- -- Cafe with You's ot fu why do lt?!'-',1,1
49,최고입니다.맛있습니다 .고맙습니다,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 맛있게 드셨다니 정말 다행입니다 ᄒᄒ 앞으로도 맛있는 디저트와 서비스로 보답해드리겠습니다! 오늘도 좋은 하루 보내세요 :)! 감사합니다. ♥️‍♀️ 늘 건강하시고 행복하세요! ^^ \*。(  ́` )و ♡♡ ☆☆★★ ★ 15000원 이상 #@위치# 매시 배달 무료! 환절기 감기 조심! 하세요! (><)ノ♡ 오늘도 즐거운 하루 되세요 : ) -,1,1
50,매번 뭘더 주시네요 배달도 빠르고 원하는맛 선택해서 먹을수 있으니 좋아요,고객님 안녕하세요 :) 저희 #@상호명# 을 이용해주셔서 감사합니다  고객님의 소중한 리뷰와 별점 정말 감사드리며 앞으로도 고객님께서 만족하실 수 있도록 최선을 다하겠습니다 😉 행복한 하루 보내세요 ❤️❤❤❤ 감사합니다.‍♀️ 늘 건강하시고 행복하시길 바랄게요 💕 또 뵈어요 ☺️️💕💕 ♡♡ 또 만나요 우리(  ́` )و\*。♡ ##@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥️) #1,1,1
51,두번째주문인데 크로플 맛이 엄청나게 맛있습니다,맛있게 드셔주셔서 감사합니다 ^^ 앞으로도 맛있는 디저트와 서비스로 보답해드리겠습니다 많은 이용 부탁드립니다 ~~~^^ \* 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림❤️- - Vedio delicious- Competitionary with You! If it's ot fu why do lt?!'-'')'♥'♡♡♥♡ #@상호명# 많이 사랑해주시고 사랑해주세요!♥️♥‍♀️,1,1
52,맛은 있으나 배달이 너무 오래걸려요 양도 적고,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장이 되도록 노력하겠습니다! 이용해주셔서 감사합니다 :) 좋은하루 보내세요! ‍♀️❤️‍♂️ 늘 행복하시고 건강하세요^^ \*。(ˊˋˋ)و ♡♡♡ 오늘도 행복한 하루 되시길 바랄게요 😉😊😊! 소중한 주문과 리뷰 다시한번 진심으로 감사드립니다!️💕💕 건강유의하시#@위치# 행복만 가득하시길 바랍,1,0
53,시킬 때마다 늘 만족하는 메종드한,#@고객이름# 님 주문해 주셔서 감사합니다! 항상 만족하실 수 있도록 노력하는 #@상호명# 이 되겠습니다! 리뷰 감사드리고 오늘도 좋은 하루 되세요~~^^ \*^^ ;;;)/ ♡♡♥♥️/ (  ́`))bb 오늘도 즐거운 하루 보내세요!!! :)! We agree with You! why do lt??!(><)o! ( ̇)ノ'o''♪'️' 주신 별 다섯개와 리,1,1
54,항상 좋은 음식 감사합니다 ㅎㅎ,#@고객이름# 님 안녕하세요 #@상호명# 입니다! 저희 매장을 이용해주셔서 감사합니다 :) 항상 좋은 음식으로 보답하겠습니다! 오늘도 좋은 하루 보내세요! 감사합니다. ‍♀️️‍♂️❤️ 늘 건강하시고 행복하세요! 😉😊😊 💕💕💕 또 만나요 고객님~~안녕😇‿‿◕❤ 소중한 리뷰와 별점 진심으로 감사드리며 오늘도 행복한 하루 되세요 : ) -#@상호명# 올림💕️- - Vedio 드림------- Cafe with You!,1,1
55,최근에 주문했을때 맛있어서 두번째 주문합니다. 맛있어요~~ 👍 코로나로 어려운 시기에 오래도록 영업 잘 되시길 바랍니다.,#@고객이름# 님 안녕하세요 #@상호명# 입니다. 저희 매장을 이용해주셔서 감사합니다! 코로나로 어려운 시기에 오래도록 영업 잘 되시길 바랍니다 ᄒᄒ 항상 건강하시고 행복하세요~~^^ \* 감사합니다. ♥ 건강한 재료로 든든한 한끼 드실 수 있도록 노력하겠습니다! 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림❤️-#@상호명# 드림------- -- Cafe with You's ot fu why do lt?!'-'')'♥️'♡'.♡♡,1,1
56,아인슈페너 처음으로 시켜봤는데 달달하니 맛있습니다~!! 서비스로 주신 아메리카노도 잘 먹겠습니다 감사합니다🥹,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어용♥) 입니다! 맛있게 드셔주셔서 너무 감사합니당 ᄒᄒ 다음에도 정성껏 만들어 보내드리겠습니당! 또 찾아주세용!!! :)! 오늘도 행복한 하루 보내시길 바랄게용~!♥♥ 또 만나용 ^-^/\* ❤️♥️ ( ́`)ノ♡♡ 퐈이야!!!!‍♀️ 하이나 많이 사랑해 주세요!! 감사해요!! 😉😊😊,1,1
57,딸기ㅜㅜ 저 원래 딸기 안 좋아하는데 3주 내내 딸빙 생각으로 지새우다 드디어ㅜㅜ 먹었슴다ㅠ 딸기 토실하니 맛났어요!,안녕하세요! #@상호명# 입니다 :) 저희 매장을 이용해주셔서 감사합니다! 딸기빙수 맛있게 드셨다니 정말 다행이에요 ᄒᄒ 앞으로도 많은 이용부탁드려요! 좋은 하루 보내세요! 감사합니다. ‍♀️ ❤️‍♂️ 늘 건강하시고 행복하세요! ( ́`)و\*。(▽́)ノ♡♡ ♡♥️♡ ☆☆ ★ 15000원 이상 #@위치# 매시 배달 무료! 환절기 감기 조심! 하세요!! ♥,1,1
58,배달 빠르고 맛잌ㅅ어오 이번에는 리뷰이벤트로 제대로 파인애플 받았어요 큰 사이즈가 왔네여 잘 먹었습니다 감사....!,맛있게 드셔주셔서 감사합니다 ^^ 리뷰이벤트 참여해주셨군요 ᄒᄒ 항상 만족하실 수 있도록 노력하는 #@상호명# #@위치# 이 되겠습니다 :)! 좋은 하루 보내세요 ♥️️❤️‍‍♀️ 늘 건강하시고 행복하세용 (  ́` )و\*)و ♡♡ 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림💕️- - Vedio 드림-------'' - PLUS GREEN TO YOUR DA,1,1
59,새벽에도 배송이 되니 참좋아요^^ 샌드위치 참 맛있어요~서비스 잘마실게요♥,고객님 주문해주셔서 감사합니다! 새벽에도 저희 #@상호명# 샌드위치를 맛있게 드셔주셔서 너무너무 감사드립니다 :) 앞으로도 고객님께서 만족하실 수 있도록 최선을 다하겠습니다! 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림❤️-#@상호명# 드림------- -- Cafe with You's ot fu why do lt?!'-'')'♥️'♡'.'\*♡)/'@' UP' &' We'r Your deliciou,1,1
60,미리 잘라서 보내주신 덕분에 편하게 생크림에 먹을수 있었네요. 맛있었어요! 서비스로주신 아메리카노 잘마시겠습니다. 번창하세요.,맛있게 드셔주셔서 감사합니다 ^^ 앞으로도 맛있는 디저트와 서비스로 보답해드리겠습니다 많은 이용 부탁드립니다 ~~~^^ \* 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림❤️- - Vediency- '-' - PLUS GREEN TO YOUR DAY - ♥ 건강한 재료로 든든한 한끼 드실 수 있게 더 노력하는 #@상호명# 이 되겠습니다! :)! 소중한 리뷰와 별점 진심으로 감사드리며 오늘도 좋은 하루 보내세요!♥️,1,1
61,랜덤박스라 어떤 빵이 올까 기대되기도 하고 신선하네요. 덤으로 자몽쥬스 주신 것도 잘 먹었습니다~,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 랜덤박스는 저희매장 인기제품들로만 주문가능하오니 많은 이용부탁드립니다 ᄒᄒ 맛있게 드셔주시고 소중한 리뷰까지 남겨주셔서 너무너무 감사드려요! 다음에도 신선하고 맛있는 빵으로 찾아뵙겠습니다! 오늘도 행복한 하루 보내세요 :)! 감사합니다. -#@상호명# 올림❤️- - Vedio delicious- Cafe with You's ot fu why do lt?!',1,1
62,양이 팥빙수..소 맞나 할 정도로 많아요,"맛있게 드셔주셔서 감사합니다 :) 팥빙수 생각나시면 저희 ""샤빙"" 많이 찾아주시고 사랑해주세요♥️‍♀️ 늘 만족하실 수 있도록 최선을 다하는 샤빙이 되겠습니다!  리뷰 감사드리고 오늘도 좋은 하루 되세요 : ) -#@상호명# 올림❤️-- -- Cafe with You's ot fu why do lt?!'-'')'♡'.'\*♡.♡ 맛나게 드셨나요?!?? ᄒᄒ",1,0
63,빠른 배달 감사합니다 바닐라라떼도 진짜 맛있었어요,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 바닐라라떼 맛있게 드셨다니 정말 다행입니다 ᄒᄒ 다음에도 맛있는 음료와 디저트로 찾아뵙겠습니다! 오늘도 행복한 하루 보내세요 :)! 감사합니다. ‍♀️ 늘 건강하시고 행복하세요! 😉😊 ❤️#@상호명# 찜♥️ 하트뿅뿅️️ 💕 또 만나요 고객님 ♡♡ 꾹꾹 눌러담아 보내드릴게요!!! (><)و\*。(ˊˋ\,1,1
64,햄치즈시킬까말까하다가 남길꺼같아서 안시켰는데 서비스로주셔서 감사해요^^ 참치는 안에 양배추가들어있어 넘맛있었어요 내용물도 넘치도록 들어있고! ㅎㅎ다음에도 또주문할께요,소중한 리뷰 감사합니다! 맛있게 드셔주셔서 너무너무 감사드립니다 ᄒᄒ 다음번에도 정성껏 만들어 보내드리겠습니다! 오늘도 행복한 하루 보내세요 :)! ‍♀️❤️️ #@상호명# 의 맛있는 제품이 생각나시면 또 이용해주세요~~ 감사합니다. 😉 즐거운 하루 되세요 : ) -#@상호명# 올림💕️- - Vedio 드림------- ♥️----- 또 만나요 고객님 ^0^-^//\*^o ♡♡ 늘 건강하시고 행복하세용,1,1
65,샌드위치가 생각보다 커서 좋습니다,샌드위치 맛있게 드셔주셔서 감사합니다 ^^ 항상 신선한 재료로 정성껏 만들어 보내드리겠습니다 ᄒᄒ 리뷰 감사드리고 오늘도 좋은 하루 되세요 ♥️ -#@상호명# 올림❤️-- ---- #@상호명# 을 사랑해 주시는 마음 꼭꼭 새기며 늘 한결같은 맛과 서비스로 보답하겠습니다! :)! 오늘도 행복한 하루 보내세요 : ) - -- 늘 웃는 날들만 가득하시길 바랄게요! - Vedio:D 오늘도 행복하고 웃음가득한 하루되시길 바라겠습니당,1,1
66,맛있어요 누텔라가 제일 좋아요,안녕하세요 #@상호명# 입니다. 맛있게 드셔주셔서 감사합니다! 누텔라는 저희 매장 인기메뉴 중 하나랍니다 ᄒᄒ 앞으로도 많은 이용 부탁드리겠습니다! 감사합니다. ^^ \* 오늘도 좋은 하루 되세요! :)! -#@상호명# 올림❤️-#@상호명# 드림------- -- CAFE's ot fu why do lt? coffee with too delicious! (><)و ♡♡♥♡ ♡♥♥,1,1
67,배달 상태는 양호했고 맛도 너무 좋아요~~,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 맛있게 드셔주시고 리뷰까지 남겨주셔서 너무너무 감사드립니다 ^^ 앞으로도 항상 만족하실 수 있도록 최선을 다하겠습니다! 오늘도 좋은 하루 되세요 :)! 감사합니다. ♥️‍♀️ 늘 건강하시고 행복하세요~! ❤️️💕💕💕 ♡♡ 또 만나요 고객님 ^0^ 전 항목 5점! 그리고 포토리뷰 까지 남겨주시면 더더욱 감사드리#@위치# 요! 항상 건강하고 행복하시길 바랄게요 😉,1,1
68,괜찮았어요!!!! 다음에 또 시킬게요 ^.^,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 맛있게 드셔주시고 리뷰까지 너무너무 감사드려요! 다음에도 맛있는 디저트와 음료로 보답하겠습니다! 오늘도 행복한 하루 보내세요! :)! 감사합니다. -#@상호명# 올림❤️- - Vedio delicious- Cafe with You! If it's ot fu why do lt?!'-'')'♥️ #@고객이름# 님의 소중한 주문 감사드리며 오늘도 좋은 하루 되세요 : ) -,1,1
69,진짜 너무 맛있어요~~ 스파게티와 바게트 조합이 이렇게 좋을줄 몰랐어요 포장도 너무 깔끔하고 휴일날 브런치로 최고예요!,맛있게 드셔주셔서 감사합니다~~^^ 스파게티와 바게트의 조합은 정말 환상의 조합이죠!!ᄒᄒ 앞으로도 많은 이용 부탁드릴게요~!!! 리뷰 감사드리고 오늘도 좋은 하루 되세요~!^_^♡♡♥️♥♥bb 주문해주시면 더더욱 정성껏 만들어 보내드리겠습니다! :) #@상호명# 많은 사랑 부탁드립니다! 감사합니다. 😉😊😊 ‍♀️ ❤️️‍💕 💕💕‿‿◕ 하이나 퐈이야!! 꺄아,1,1
70,맛있어용 근데 토핑 종류는 가격에 비해 별로인 듯 해요 째끄만 떡 조각이라도 있으면 좋을텐데.. 우유얼음 양은 엄청 많아요,맛있게 드셔주셔서 감사합니다~ 토핑 종류는 가격에 비해 별로인 듯 해요 ㅠㅠ 다음번 주문시 요청사항에 떡 조각이라고 적어주시면 같이 보내드리겠습니다~~^^ \* 앞으로도 #@상호명# 많이 사랑해 주세요~♥ 건강한 재료로 든든한 한끼 드실 수 있게 더 노력하는 츄가 되겠습니다! 감사합니다. :)! ‍♀️ ❤️️ 또 만나요 고객님 :-) 😉😊😊 💕💕💕 새해 복 많이 받으세요!! 샐러드 생각나시면 또 찾아주,1,0
71,품절안내도 친절히 해주시고 대체해온 빵도 맛있어요^^ 빙수도 맛있게 잘먹었습니다:),고객님 안녕하세요 :) 저희 #@상호명# 을 이용해주셔서 감사합니다 ‍♀️ 주문해주신 제품 모두 맛있게 드셨다니 저희도 기분이 좋습니다 ❤️ 다음에도 저희 희다가 생각나실때 또 찾아주세요 😉 즐거운 하루 되세요 : ) -#@상호명# 드림- 올 리뷰이벤트 및 깜짝서비스는 계속 진행중이오니 많은이용부탁드립니다! 다음주문 때 뵙겠습니다 ( ́▽`♡) - Vedio delicious!!! (\* ́∀`)و ♡♥️,1,1
72,음료다 맛있네요 토피넛은 땅콩도 씹히구요 잘먹었습니다,맛있게 드셔주셔서 감사합니다 :) 토피넛은 땅콩도 씹히는 맛이죠 ᄒᄒ 앞으로도 많은 이용 부탁드릴게요! 리뷰 감사드리고 오늘도 좋은 하루 보내세요 ♥️❤️‍♀️💕💕💕 #@상호명# 드림------- CAFE's ot fu why do lt?!'-')''♪'\* #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛나게 드셨다니 너무 뿌듯하네요!!!️,1,1
73,늦은시간에도 빙수를 먹을수 있어서 정말 좋네요 초코케익도 맛있고 리뷰이벤트로 아아까지 와서 잘 먹었습니다~,"맛있게 드셔주셔서 감사합니다 :) 늦은 시간에도 빙수 생각나시면 저희 ""샤빙"" 많이 찾아주시고 사랑해주세요♥️‍♀️ 늘 만족하실 수 있도록 최선을 다하는 샤빙이 되겠습니다! 리뷰이벤트 및 깜짝서비스는 계속 진행중이오니 많은이용부탁드립니다! 다음주문 때 뵙겠습니다 : ) -#@상호명# 올림❤️-#@상호명# 드림----- -- Cafe You's ot fu why do lt?!'-'' - Vedio",1,1
74,배달도 빠르고 포장도 잘되어있어서 좋겠어요~감사합니다!,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장입니다. 앞으로도 많은 이용 부탁드립니다. 감사합니다 ^^ \* 오늘도 좋은 하루 되세요 :)! 감사합니다. ^__^!!! ♡♡♥ 건강한 재료로 든든한 한끼 되셨길 바라며 다음에도 저희 희다가 생각나실 때 또 찾아주세요~ ♥️ ( ́`)♡ ••́ ┏━ U U━♡━━┛ 쥬문 부탁드려요,1,1
75,맛있는 음료랑 토스트ㅠㅠ 너무 좋아오 자꾸 생각나서 시켜먹었어요,맛있게 드셔주셔서 감사합니다 ^^ 앞으로도 맛있는 음료와 디저트 드실 수 있도록 노력하겠습니다 많은 이용 부탁드립니다 ~~~^^ \* 오늘도 좋은 하루 되세요 :)! ♡♡♥♡ 또 만나요 고객님 (  ́` )♡ 늘 건강하시고 행복하세요 ❤️ ♥️ 하이나 많이 사랑해 주세용 ^-^// (▽)♥♥/ ☆☆ ★★♥★ #@상호명# 을 사랑해주셔서 고맙습니다 😉 💕💕‍,1,1
76,집에서 배달해 먹는 망고빙수..최고네요 ! 서비스 아이스티도 유달리 맛나고.... 자주 애용하겠습니다ㅡ 한가지 건의사항은 연유가 좀 흘렀네요. 담부터는 뿌려주시면 좋겠어요,#@고객이름# 님 주문해 주셔서 감사합니다! 망고빙수 맛있게 드셨다니 정말 다행이에요! 다음번 주문시 요청사항에 연유 뿌려달라고 적어주시면 뿌려서 보내드리겠습니다! 리뷰이벤트 및 깜짝서비스는 계속 진행중이오니 많은이용부탁드리며 다음주문 때 뵙겠습니다. :) #@상호명# 을 이용해주셔서 대단히 감사드리고 다가오는 주말도 즐겁고 행복하게 보내시길 바랍니다! 😉 ‍♀️ ❤️‍♂️️💕💕‿‿◕❤,1,1
77,간만에 주문하는데도 서비스챙겨주셔서 감사했어요! 아이스아메리카노랑 먹으니까 더욱 맛있었어요ㅠㅠ 샌드위치 맛은 말할것도없구요ㅜㅜ 정말 푸짐하고 신선한 맛난 샌드위치였어요!!,맛있게 드셔주셔서 감사합니다~~^^ 샌드위치와 아메리카노는 정말 찰떡궁합이랍니다 ᄒᄒ 앞으로도 맛있는 디저트와 서비스로 보답해드리겠습니다 :) #@상호명# 많은 사랑 부탁드립니다! ‍♀️ 늘 건강하시고 행복하세요 ^^ \*。(  ́` )و ♡♡ 오늘도 좋은하루 보내세요 ❤️️♥️ #@고객이름# 님 주문해주시고 리뷰와 별5점까지 너무너무 감사드려요 😉😊😊😆😆! 오늘도 행복한,1,1
78,안녕하세요 오늘 처음 시켜봤는데 맛도 좋고 냉장고에 보관 했다가 먹을 수 있어서 편리해요~ 캔커피 홀더가 이뻐서 냉장고에 세워두니 너무 귀엽네요 잘먹겠습니다. 자주 이용할게요🙏👍,#@고객이름# 님 안녕하세요 #@상호명# 입니다! 저희 매장을 이용해주셔서 감사합니다 :) 캔커피 홀더가 이뻐서 냉장고에 보관해두면 더 맛있어요 ᄒᄒ 맛있게 드셔주시고 소중한 리뷰까지 너무너무 감사드려요  앞으로도 변함없는 맛과 서비스로 보답하겠습니다! 한결같이 정성만 다해 보답드리겠습니다 : ) -#@상호명# 올림❤️-#@상호명# 드림------- - Vediood's ot fu why do lt?!'-''♥️'')',1,0
79,너무나도 맛났어요 보리건빵도 서비스도 주시고 너무 감사해요,맛있게 드셔주셔서 감사합니다 ^^ 앞으로도 더나은서비스와 좋은제품으로 보답하겠습니다 많은이용바라며 건강잘챙기시기 바랍니다 ~~^^ \* 오늘도 좋은하루 보내세요 ♡♡♥♡ ♥♥ ❤️♥️ 까지 해주시면 더더욱더 감사드리#@위치# 요~~ 행복한 하루 보내시길 바랄게요 ^-^//)/ -#@상호명# 드림------- - Vediood's ot fu why do lt?!'-'♥',1,1
80,오 처음 시켜보는 곳인데 맛있네요 소스도 충분했고 양도 많아서 배부르게 잘 먹었습니다 커피도 맛있어요 다음에는 딴 메뉴 주문해볼래요,맛있게 드셔주셔서 감사합니다  샐러드 생각나실때 또 찾아주세요 ❤️‍♀️ 늘 정성을 다하는 #@상호명# 이 되겠습니다 😉 즐거운 하루 되세요 : ) -#@상호명# 올림-- -- 드림------- ♥️- 일교차가 큰 날씨에 감기 조심하시고 행복한 하루 보내세요! :)! 또 뵙겠습니다 : D-years! We agree with You! we delicious why do lt?,1,1
81,종이봉투 요청 들어주셔서 감사^^ 평일 저녁 여자 직원분 친절하셔요~,안녕하세요 고객님! #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장이 되도록 노력하겠습니다! 이용해주셔서 감사합니다!‍♀️ 늘 건강하시고 행복하세요~~❤️️♥️ #@기관# 할인행사는 이번주일요일까지입니다 많은이용바라며 맛있게드시고 건강잘챙기시기 바랍니다 :)! 다음주문 때 뵙겠습니다 (  ́` )و\* ••。 ♡♡ 꺄아아앙 ♥,1,1
82,배달 빠르고 양 많이 주셔서 맛있게 먹었어요,맛있게 드셔주셔서 감사합니다 ^^ 앞으로도 더나은서비스와 좋은제품으로 찾아뵙겠습니다 많은이용바라며 건강잘챙기시기 바랍니다 ~~~^^ \* 오늘도 좋은하루 되세요 ^__^♡♡ ♡♥ 건강한 재료로 든든한 한끼 드실 수 있게 더 노력하는 #@상호명# 이 되겠습니다! :)!! ♥ 또 만나요 고객님 (  ́` )♥♥ ❤️‍♀️ 샐러드 땡기실때 또 찾아주세용,1,1
83,배달도 빠르고 맛도좋고 서비스도 주시구 너무 감사합니다,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 맛있게 드셔주시고 리뷰까지 남겨주셔서 너무너무 감사드립니다 ᄒᄒ 앞으로도 많은 이용 부탁드리겠습니다! :)! 좋은 하루 보내세요! -#@상호명# 올림❤️- - Vedio delicious- Competitionary Saladay ♡♥️ 샐러드 생각나실때 또 찾아주세요~ 감사합니다. ‍♀️ 늘 건강하시고 행복하세요~~!️💕💕 새해 복 많이 받으세요,1,1
84,샌드위치가 이렇게 맛있는 줄 처음 알았어요,소중한 리뷰 감사합니다! 샌드위치가 입맛에 맞으셨다니 다행입니다 ᄒᄒ 앞으로도 많은 이용 부탁드리겠습니다! :) 좋은 하루 되세요~~^^ \* 감사합니다. - #@상호명# 올림❤️-#@상호명# 드림- - 드림------- ♥ 건강한 재료로 든든한 한끼 드실 수 있게 더 노력하는 #@위치# 이 되겠습니다! ( ́`)و ♡♡♥♥♥️ (>< )♡ 감사해요 고객님!!!‍♀️❤,1,1
85,"배달은 빠르게 잘 왔는데 주문한 도넛한개가 빠졌네요 하나만 다시 배달해달라기도 뭐하고..., 난감하네요",안녕하세요 고객님! #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장이 되도록 노력하겠습니다! 이용해주셔서 감사합니다! 좋은하루 보내세요 :)!‍♀️❤️️‍♂️💕💕 리뷰이벤트 및 깜짝서비스는 계속 진행중이오니 많은이용부탁드립니다!! 다음주문 때 뵙겠습니다!! (  ́` )و\* ••́ ♡♥️♡♡ 감사합니다. #@고객이름# 님~~,1,0
86,후기좋은곳은 이유가있네요 특히 에그타르트!!! 너무 맛있습니다 ㅎㅎ,안녕하세요 #@상호명# 입니다! 맛있게 드셔주셔서 감사합니다 :) 에그타르트는 저희 매장 인기메뉴 중 하나입니다!! 앞으로도 많은 이용 부탁드립니다~! 감사합니다. ‍♀️ 늘 건강하시고 행복하세요!!! ❤️️ 또 만나요 고객님 💕(  ́` )و\*。( ̆)و ♡♡ ღ ̊(ˊˋ\)━━♡━━┓━┛ 쥬문 부탁드려요~~안녕하세요~♡ 맛나게 드시고,1,1
87,시키지마자 사라져있는데 뭐죠 사진찍을새도 없었습니다 입한쪽에 빨대물고 다른쪽으로 빵 쑤셔넣었습니다 짐승이 된 기분이에요 최고,고객님 안녕하세요 :) 저희 #@상호명# 을 이용해주셔서 감사합니다  고객님의 소중한 리뷰와 별점 정말 감사드리며 앞으로도 고객님께서 만족하실 수 있는 맛있는 빵으로 보답하겠습니다 😉 즐거운 하루 보내세요 ❤️‍‍♀️ 늘 행복하시고 건강하시길 바랄게요 ☺️ 새해 복 많이 받으세요 ~! 좋은 하루 되세요 : ) -#@상호명# 드림------- -- Cafe with You's ot fu why do lt?!'-'')' - -',1,1
88,맛있어요!! 나중에 다시 주문하고 싶어요~!!!,안녕하세요 #@상호명# 입니다. 맛있게 드셔주셔서 감사합니다! 다음에 또 주문해주시면 더 맛나게 만들어서 보내드릴게요 :) 오늘도 좋은 하루 보내세요~! 감사합니다. ‍♀️ ❤️#@상호명# 의 맛있는 제품이 생각나시면 또 이용해주세요! 😉 즐거운 하루 되세요 : ) -#@상호명# 드림------- -- Cafe with You's ot fu why do lt?!'-'')'\*'.' /'/'.'♥'♡♥️♥,1,1
89,"행사때 종종 이용합니다. 딸기요거티도 맛있고 꽈배기, 크라상도 맛나요.~",안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 매장이 되도록 노력하겠습니다! 이용해주셔서 감사합니다‍♀️ 늘 건강하시고 행복하세요 :)! ️#@상호명##@상호명# 의 맛있는 제품이 생각나시면 언제든 찾아주세요❤️ 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림💕️-#@상호명# 드림------- -- Cafe with You's ot fu why do lt?!'-'' - Vedition',1,1
90,포장도 잘되어있구 배송도빨라서 좋아요!,고객님 안녕하세요 :) 저희 #@상호명# 을 이용해주셔서 감사합니다  고객님의 소중한 리뷰와 별점 정말 감사드리고 앞으로도 고객님께서 만족하실 수 있도록 최선을 다하겠습니다 😉 즐거운 주말 보내세요 ❤️❤❤❤ 감사합니다. ☺️‍♀️ 늘 행복하시고 건강하시길 바랄게요 💕 또 뵈어요 ~~~안녕️💕💕💕 ♡♡ 또 만나요 우리고객님(  ́` )و\*。♡♥♥♥️♥💕️ ♥,1,1
91,배고파서 가볍게(?) 먹을 수 있는 걸 찾다가 샐러드가 괜찮을것 같아서 주문했어요!! 오!! 생각보다 포만감도 있고 맛도 있어요!! 잘 먹었습니다아😄,맛있게 드셔주셔서 감사합니다 ^^ 샐러드 생각나시면 언제든 찾아주세요 ᄒᄒ 항상 맛과 양으로 보답하는 #@상호명# 이 되겠습니다 :) ♡♡ 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림❤️-#@상호명# 드림-------- ------ ♥ 건강한 재료로 든든하고 든든한 한끼 드실 수 있도록 노력하겠습니다! 오늘도 좋은 하루 보내세요:D - --- --)) ---------- If it's ot fu why do lt? delice wi,1,1
92,종종시켜먹는데 역시나! 너무맛있게 잘마셨어요. 내일도 회사가져가서 먹으려고 두개 쟁여뒀어여ㅎㅎ 너무너무맛있어요.잘먹었습니당!!,안녕하세요! #@상호명# 입니다 :) 저희 와플 맛있게 드셔주셔서 감사드려요 ᄒᄒ 오늘도 좋은하루 보내세요! 감사합니다!‍♀️ 늘 건강하시고 행복하세요 ♥️️❤️ 감사드립니다!! (  ́` )و\*)و ♡♡ 오늘도 즐거운 하루 되세요 : ) -#@상호명# 올림💕💕 앞으로도 많은 사랑 부탁드릴게요! 좋은 하루 보내세용~!(><)ノ♡ 또 만나요 고객님~~!!! ( ̆,1,0
